Person,Certified,Taught
10031,2016-03-04,
10035,2016-01-19,
10037,2016-01-19,
10038,2015-09-25,
10041,2016-01-19,
10045,2016-03-29,
10138,2015-10-13,
10165,2015-10-22,
10168,2016-03-15,
10169,2016-03-15,
10217,2016-03-01,
10307,2016-04-08,
10310,2016-01-19,
10317,2015-12-08,
10319,2016-04-19,
10327,2016-03-15,
10330,2016-02-29,
10332,2016-02-04,
10334,2016-04-13,
10381,2016-02-08,
10386,2016-03-09,
10393,2016-01-19,
10398,2016-04-01,
10399,2016-04-01,
10414,2016-03-15,
10462,2016-02-04,
10463,2016-02-11,
10464,2016-02-11,
10465,2016-02-11,
10468,2016-04-13,
10473,2016-02-08,
10480,2016-02-19,
10481,2016-03-15,
10482,2016-02-12,
10483,2016-02-11,
10486,2016-03-15,
10490,2016-02-11,
10496,2016-02-08,
10511,2016-02-08,
10512,2016-03-01,
10514,2016-04-21,
10515,2016-02-02,
10517,2016-02-19,
10518,2016-04-26,
10519,2016-03-22,
10525,2016-03-30,
10526,2016-02-04,
10528,2016-02-04,
10529,2016-04-08,
10532,2016-02-11,
10534,2016-03-01,
10535,2016-04-13,
10536,2016-03-28,
10585,2016-03-01,
10656,2016-05-17,
10934,2016-02-29,
10935,2016-04-01,
10936,2016-03-21,
10937,2016-02-17,
10940,2016-04-07,
10942,2016-02-17,
10943,2016-02-17,
10945,2016-03-15,
10949,2016-04-07,
10950,2016-05-17,
10953,2016-04-26,
11184,2016-05-17,
11190,2016-04-08,
11193,2016-04-19,
11197,2016-05-03,
11248,2016-02-25,
11249,2016-02-25,
11250,2016-02-25,
11251,2016-02-25,
11252,2016-02-25,
11253,2016-03-01,
11255,2016-04-14,
11262,2016-04-19,
11265,2016-03-15,
11268,2016-03-16,
11278,2016-03-29,
11280,2016-04-19,
11292,2016-02-29,
11293,2016-03-01,
11298,2016-04-21,
11311,2016-04-19,
